policy,epoch,threshold,query,service_ms,kernel_ms,hits,overflow,cpu_complete_match,process
size_tiered,3,80,5,0.041058999999999998,0.008991999551653862,1,0,1,0
size_tiered,3,80,6,0.043493999999999998,0.011839999817311764,1,0,1,0
size_tiered,3,80,7,0.043468,0.01104000024497509,1,0,1,0
size_tiered,4,70,0,0.040795999999999999,0.008832000195980072,1,0,1,0
size_tiered,4,70,1,0.041910999999999997,0.0087360003963112831,1,0,1,0
size_tiered,4,70,2,0.038864999999999997,0.0091199995949864388,1,0,1,0
size_tiered,4,70,3,0.043568000000000003,0.011008000001311302,1,0,1,0
size_tiered,4,70,4,0.042641999999999999,0.010944000445306301,2,0,1,0
size_tiered,4,70,5,0.044255999999999997,0.012384000234305859,1,0,1,0
size_tiered,4,70,6,0.043059,0.010975999757647514,2,0,1,0
size_tiered,4,70,7,0.042992000000000002,0.011071999557316303,7,0,1,0
size_tiered,4,80,0,0.038797999999999999,0.0073600001633167267,1,0,1,0
size_tiered,4,80,1,0.038434000000000003,0.0071040000766515732,1,0,1,0
size_tiered,4,80,2,0.040488999999999997,0.0087360003963112831,1,0,1,0
size_tiered,4,80,3,0.040999000000000001,0.0094079999253153801,1,0,1,0
size_tiered,4,80,4,0.040647999999999997,0.0093759996816515923,2,0,1,0
size_tiered,4,80,5,0.041944000000000002,0.0094720004126429558,1,0,1,0
size_tiered,4,80,6,0.040384000000000003,0.0090239997953176498,1,0,1,0
size_tiered,4,80,7,0.040542000000000002,0.0090880002826452255,1,0,1,0
size_tiered,5,70,0,0.038905000000000002,0.0068479999899864197,1,0,1,0
size_tiered,5,70,1,0.041901000000000001,0.0086399996653199196,1,0,1,0
size_tiered,5,70,2,0.040884999999999998,0.0093759996816515923,1,0,1,0
size_tiered,5,70,3,0.040201000000000001,0.0086719999089837074,1,0,1,0
size_tiered,5,70,4,0.040918000000000003,0.0092160003259778023,2,0,1,0
size_tiered,5,70,5,0.043365000000000001,0.010591999627649784,1,0,1,0
size_tiered,5,70,6,0.042958000000000003,0.011327999643981457,2,0,1,0
size_tiered,5,70,7,0.038063,0.01104000024497509,7,0,1,0
size_tiered,5,80,0,0.042361999999999997,0.006624000146985054,1,0,1,0
size_tiered,5,80,1,0.044558,0.0084800003096461296,1,0,1,0
size_tiered,5,80,2,0.04086,0.0091840000823140144,1,0,1,0
size_tiered,5,80,3,0.041095,0.0084800003096461296,1,0,1,0
size_tiered,5,80,4,0.041340000000000002,0.0087360003963112831,2,0,1,0
size_tiered,5,80,5,0.043493999999999998,0.010751999914646149,1,0,1,0
size_tiered,5,80,6,0.040592000000000003,0.0090880002826452255,1,0,1,0
size_tiered,5,80,7,0.040759999999999998,0.0091519998386502266,1,0,1,0
size_tiered,6,70,0,0.039123999999999999,0.0076159997843205929,1,0,1,0
size_tiered,6,70,1,0.040811,0.0088959997519850731,1,0,1,0
size_tiered,6,70,2,0.040522000000000002,0.0090239997953176498,1,0,1,0
size_tiered,6,70,3,0.040493000000000001,0.0088640004396438599,1,0,1,0
size_tiered,6,70,4,0.042373000000000001,0.010879999957978725,2,0,1,0
size_tiered,6,70,5,0.043152000000000003,0.010623999871313572,1,0,1,0
size_tiered,6,70,6,0.043227000000000002,0.010688000358641148,2,0,1,0
size_tiered,6,70,7,0.050990000000000001,0.013055999763309956,7,0,1,0
size_tiered,6,80,0,0.043345000000000002,0.011711999773979187,1,0,1,0
size_tiered,6,80,1,0.041738999999999998,0.0086399996653199196,1,0,1,0
size_tiered,6,80,2,0.041377999999999998,0.0095680002123117447,1,0,1,0
size_tiered,6,80,3,0.040323999999999999,0.0087360003963112831,1,0,1,0
size_tiered,6,80,4,0.041069000000000001,0.0084159998223185539,2,0,1,0
size_tiered,6,80,5,0.039162000000000002,0.0091840000823140144,1,0,1,0
size_tiered,6,80,6,0.038998999999999999,0.008991999551653862,1,0,1,0
size_tiered,6,80,7,0.042367000000000002,0.010751999914646149,1,0,1,0
