mode,policy,rotation,cap_mib,interval_ms,window_ms,start_ms,drain_finished_ms,scheduled_batches,completed_batches,dropped_batches,coverage_pass,cpu_complete_match,window_completed_batches,completion_fraction,window_queries_per_s,p99_response_ms,p50_response_ms,max_response_ms,p99_service_ms,mean_service_ms,p99_queue_ms,max_waiting_batches,max_maintenance_backlog,max_publication_lag_ms,max_maintenance_queue_ms,uploaded_bytes,merged_host_rw_bytes,merges,deferred,end_runs,peak_vram_bytes,host_maxrss_kib,case_name,technical_pass
static_base,all_delta,3,1280,0.54,8000,944.759278,8944.695061,14815,14815,0,True,True,14815,1.0,14815.0,0.870625,0.376407,7.050984,0.813603,0.32370930725616026,0.331258,12,0,0,0,0,0,0,0,1,1277034496,834756,test_r3_cap1280_static_base,True
static_final,all_delta,3,1280,0.54,8000,1197.540094,9197.503892,14815,14815,0,True,True,14815,1.0,14815.0,1.078574,0.448787,7.069098,0.934168,0.4132421455956838,0.538829,12,0,0,0,0,0,0,0,1,1277034496,1043144,test_r3_cap1280_static_final,True
growth,tier4,3,1280,0.54,8000,903.882153,8903.851868,14815,14815,0,True,True,14815,1.0,14815.0,0.990185,0.441572,6.945138,0.933821,0.39606977455281367,0.450634,11,1,41.60010599999987,0.0722040000001,70686882,72652860,4,0,3,1277034496,835684,test_r3_cap1280_tier4_growth,True
shadow,tier4,3,1280,0.54,8000,840.063873,8839.993543,14815,14815,0,True,True,14815,1.0,14815.0,0.86859,0.374783,6.586874,0.812164,0.32333513985825474,0.32916,11,1,43.536495999999715,0.0791209999998,70686882,72652860,4,0,3,1277034496,835700,test_r3_cap1280_tier4_shadow,True
growth,all_delta,3,2048,0.54,8000,817.801561,8817.779225,14815,14815,0,True,True,14815,1.0,14815.0,0.994528,0.445857,6.396675,0.936324999999,0.3971468513668581,0.454957999999,10,1,11.245604999999614,0.118064,34360452,0,0,0,7,2082340864,835672,test_r3_cap2048_all_delta_growth,True
shadow,all_delta,3,2048,0.54,8000,840.579967,8840.510263,14815,14815,0,True,True,14815,1.0,14815.0,0.868632,0.373949,6.767277,0.811976,0.3221778376645334,0.329051,11,1,10.481600999999955,0.140262,34360452,0,0,0,7,2082340864,835700,test_r3_cap2048_all_delta_shadow,True
growth,compact,3,2048,0.54,8000,903.335307,8903.298892,14815,14815,0,True,True,14815,1.0,14815.0,12.586312,0.434778999999,24.785877,0.93543,0.3897045327033462,12.04668,44,1,567.8078910000004,0.0693410000003,2586180240,5103639576,6,0,1,2082340864,1459132,test_r3_cap2048_compact_growth,False
shadow,compact,3,2048,0.54,8000,847.059404,8846.994774,14815,14815,0,True,True,14815,1.0,14815.0,0.871147,0.374139,5.965849,0.812461,0.3218462221397289,0.331507,10,1,571.5317070000001,0.140018,2586180240,5103639576,6,0,1,2082340864,1455520,test_r3_cap2048_compact_shadow,True
growth,periodic6,3,2048,0.54,8000,823.052872,8823.013689,14815,14815,0,True,True,14815,1.0,14815.0,0.995505,0.439567,6.207055,0.934681000001,0.3951040647991931,0.455787,10,1,581.6243199999999,0.10651,466098318,863475732,1,0,1,2082340864,1041228,test_r3_cap2048_periodic6_growth,True
shadow,periodic6,3,2048,0.54,8000,951.251439,8951.185626,14815,14815,0,True,True,14815,1.0,14815.0,0.865641,0.372058,8.315485,0.808284,0.3210414112723612,0.326129,14,1,652.5225920000003,0.0906600000008,466098318,863475732,1,0,1,2082340864,1037700,test_r3_cap2048_periodic6_shadow,True
static_base,all_delta,3,2048,0.54,8000,829.452048,8829.381928,14815,14815,0,True,True,14815,1.0,14815.0,0.869033,0.374640999999,6.193467,0.812504,0.32165178582517784,0.329571,10,0,0,0,0,0,0,0,1,2082340864,835664,test_r3_cap2048_static_base,True
static_final,all_delta,3,2048,0.54,8000,1191.956239,9191.922637,14815,14815,0,True,True,14815,1.0,14815.0,0.993609,0.448885,6.698601,0.934364,0.4132421460006764,0.454604,11,0,0,0,0,0,0,0,1,2082340864,1042400,test_r3_cap2048_static_final,True
growth,tier4,3,2048,0.54,8000,869.400575,8869.376351,14815,14815,0,True,True,14815,1.0,14815.0,0.990821,0.441860999999,6.299848,0.933972,0.3958652498818822,0.451291,10,1,42.724101999999675,0.111228000001,70686882,72652860,4,0,3,2082340864,835660,test_r3_cap2048_tier4_growth,True
shadow,tier4,3,2048,0.54,8000,882.836482,8882.763089,14815,14815,0,True,True,14815,1.0,14815.0,0.871374,0.377063,6.501103,0.814812,0.3240361906851149,0.331999,11,1,47.60631599999988,0.106776,70686882,72652860,4,0,3,2082340864,835696,test_r3_cap2048_tier4_shadow,True
